TIME,TQABAV,ISLS,HKLDAV
"yyyy-MM-dd""T""HH:mm:ss.fffzzz",kN.m,unitless,kN
2020-02-19T08:58:01.366+01:00,5.739,,1631.98
2020-02-19T08:58:03.353+01:00,6.079,,1633.989
2020-02-19T08:58:04.117+01:00,,0,
2020-02-19T08:58:05.339+01:00,6.382,,1636.79
2020-02-19T08:58:07.327+01:00,6.293,,1635.999
2020-02-19T08:58:07.836+01:00,,0,
2020-02-19T08:58:09.313+01:00,6.381,,1633.747
2020-02-19T08:58:11.303+01:00,4.845,,1634.025
2020-02-19T08:58:12.832+01:00,,0,
2020-02-19T08:58:13.290+01:00,5.347,,1634.644
2020-02-19T08:58:15.277+01:00,5.492,,1636.017
2020-02-19T08:58:15.481+01:00,,0,
2020-02-19T08:58:17.265+01:00,5.81,,1636.287
2020-02-19T08:58:19.273+01:00,5.627,,1635.277
2020-02-19T08:58:20.494+01:00,,0,
2020-02-19T08:58:21.260+01:00,5.52,,1634.384
2020-02-19T08:58:23.247+01:00,5.968,,1634.012
2020-02-19T08:58:24.980+01:00,,0,
2020-02-19T08:58:25.234+01:00,6.614,,1634.732
2020-02-19T08:58:27.221+01:00,5.844,,1635.792
2020-02-19T08:58:29.209+01:00,7.529,,1634.741
2020-02-19T08:58:29.974+01:00,,0,
2020-02-19T08:58:31.197+01:00,7.289,,1633.155
2020-02-19T08:58:32.369+01:00,,0,
2020-02-19T08:58:33.185+01:00,6.274,,1634.493
2020-02-19T08:58:35.169+01:00,7.078,,1629.881
2020-02-19T08:58:37.155+01:00,4.394,,1636.76
2020-02-19T08:58:37.411+01:00,,0,
2020-02-19T08:58:39.142+01:00,5.536,,1633.376
2020-02-19T08:58:41.130+01:00,4.787,,1632.592
2020-02-19T08:58:42.403+01:00,,0,
2020-02-19T08:58:43.117+01:00,4.298,,1633.495
2020-02-19T08:58:45.103+01:00,4.815,,1634.095
2020-02-19T08:58:47.093+01:00,4.766,,1634.135
2020-02-19T08:58:47.398+01:00,,0,
2020-02-19T08:58:49.077+01:00,4.496,,1634.003
2020-02-19T08:58:51.063+01:00,4.72,,1632.2
2020-02-19T08:58:52.390+01:00,,0,
2020-02-19T08:58:53.103+01:00,6.268,,1630.593
2020-02-19T08:58:55.090+01:00,5.285,,1632.668
2020-02-19T08:58:57.129+01:00,6.112,,1633.391
2020-02-19T08:58:57.382+01:00,,0,
2020-02-19T08:58:59.115+01:00,6.276,,1636.482
2020-02-19T08:59:01.103+01:00,5.39,,1636.412
2020-02-19T08:59:02.378+01:00,,0,
2020-02-19T08:59:03.090+01:00,5.397,,1632.982
2020-02-19T08:59:05.077+01:00,4.73,,1632.649
2020-02-19T08:59:07.116+01:00,4.433,,1633.831
2020-02-19T08:59:07.369+01:00,,0,
2020-02-19T08:59:09.102+01:00,4.752,,1637.537
2020-02-19T08:59:11.089+01:00,5.28,,1638.076
2020-02-19T08:59:12.363+01:00,,0,
2020-02-19T08:59:13.128+01:00,5.423,,1626.635
2020-02-19T08:59:15.116+01:00,7.352,,1624.445
2020-02-19T08:59:17.103+01:00,6.579,0,1628.299
2020-02-19T08:59:19.089+01:00,7.125,,1633.188
2020-02-19T08:59:21.151+01:00,7.629,,1630.816
2020-02-19T08:59:22.119+01:00,,0,
2020-02-19T08:59:22.375+01:00,,0,
2020-02-19T08:59:23.139+01:00,6.087,,1630.078
2020-02-19T08:59:25.126+01:00,6.349,,1625.774
2020-02-19T08:59:27.011+01:00,,0,
2020-02-19T08:59:27.112+01:00,6.023,,1620.039
2020-02-19T08:59:29.149+01:00,5.599,,1623.918
2020-02-19T08:59:31.136+01:00,5.759,,1630.196
2020-02-19T08:59:32.001+01:00,,0,
2020-02-19T08:59:32.103+01:00,,0,
2020-02-19T08:59:33.123+01:00,5.601,,1629.697
2020-02-19T08:59:35.109+01:00,5.713,,1626.429
2020-02-19T08:59:37.096+01:00,5.937,0,1623.352
2020-02-19T08:59:37.198+01:00,,0,
2020-02-19T08:59:39.086+01:00,6.263,,1623.06
2020-02-19T08:59:41.072+01:00,5.784,,1625.715
2020-02-19T08:59:41.988+01:00,,0,
2020-02-19T08:59:43.109+01:00,5.553,,1627.272
2020-02-19T08:59:45.096+01:00,6.014,,1626.918
2020-02-19T08:59:46.984+01:00,,0,
2020-02-19T08:59:47.086+01:00,6.092,,1624.477
2020-02-19T08:59:47.850+01:00,,0,
2020-02-19T08:59:49.073+01:00,5.84,,1624.761
2020-02-19T08:59:51.113+01:00,4.714,,1627.106
2020-02-19T08:59:51.826+01:00,,0,
2020-02-19T08:59:53.100+01:00,6.064,,1628.885
2020-02-19T08:59:55.140+01:00,5.674,,1628.049
2020-02-19T08:59:56.822+01:00,,0,
2020-02-19T08:59:57.128+01:00,7.437,,1626.028
2020-02-19T08:59:57.688+01:00,,0,
2020-02-19T08:59:59.116+01:00,6.173,,1618.698
2020-02-19T09:00:01.103+01:00,5.775,,1615.268
2020-02-19T09:00:02.682+01:00,,0,
2020-02-19T09:00:02.784+01:00,,0,
2020-02-19T09:00:03.090+01:00,6.888,,1616.225
2020-02-19T09:00:05.079+01:00,6.025,,1618.903
2020-02-19T09:00:07.063+01:00,8.264,,1599.189
2020-02-19T09:00:07.320+01:00,,0,
2020-02-19T09:00:09.052+01:00,12.06,,1581.316
2020-02-19T09:00:11.040+01:00,6.461,,1603.327
2020-02-19T09:00:12.313+01:00,,0,
2020-02-19T09:00:13.027+01:00,6.461,,1614.996
2020-02-19T09:00:15.014+01:00,6.689,,1612.523
2020-02-19T09:00:17.001+01:00,6.661,,1607.969
2020-02-19T09:00:17.307+01:00,,0,
2020-02-19T09:00:18.988+01:00,6.672,,1609.037
2020-02-19T09:00:20.978+01:00,5.988,,1612.266
2020-02-19T09:00:22.378+01:00,,0,
2020-02-19T09:00:22.988+01:00,6.428,,1616.246
2020-02-19T09:00:24.975+01:00,5.848,,1618.125
2020-02-19T09:00:26.961+01:00,5.623,,1616.125
2020-02-19T09:00:27.369+01:00,,0,
2020-02-19T09:00:28.948+01:00,6.065,,1613.73
2020-02-19T09:00:30.935+01:00,6.209,,1614.009
2020-02-19T09:00:32.362+01:00,,0,
2020-02-19T09:00:32.922+01:00,5.741,,1614.17
2020-02-19T09:00:34.909+01:00,6.392,,1613.197
2020-02-19T09:00:36.898+01:00,5.651,,1613.34
2020-02-19T09:00:37.357+01:00,,0,
2020-02-19T09:00:38.886+01:00,5.78,,1613.636
2020-02-19T09:00:40.875+01:00,5.711,,1615.088
2020-02-19T09:00:42.350+01:00,,0,
2020-02-19T09:00:42.859+01:00,5.744,,1616.55
2020-02-19T09:00:44.849+01:00,5.612,,1614.174
2020-02-19T09:00:46.836+01:00,6.569,,1611.885
2020-02-19T09:00:47.346+01:00,,0,
2020-02-19T09:00:48.823+01:00,6.037,,1612.323
2020-02-19T09:00:50.813+01:00,5.202,,1614.703
2020-02-19T09:00:52.342+01:00,,0,
2020-02-19T09:00:52.800+01:00,5.836,,1616.96
2020-02-19T09:00:54.784+01:00,5.456,,1619.369
2020-02-19T09:00:56.773+01:00,4.813,,1619.531
2020-02-19T09:00:57.079+01:00,,0,
2020-02-19T09:00:58.761+01:00,5.823,,1617.726
2020-02-19T09:01:00.748+01:00,5.916,,1615.467
2020-02-19T09:01:02.123+01:00,,0,
2020-02-19T09:01:02.734+01:00,5.795,,1612.714
2020-02-19T09:01:04.721+01:00,6.941,,1614.647
2020-02-19T09:01:06.711+01:00,4.875,,1619.552
2020-02-19T09:01:07.118+01:00,,0,
2020-02-19T09:01:08.698+01:00,4.984,,1622.73
2020-02-19T09:01:10.686+01:00,5.105,,1622.812
2020-02-19T09:01:12.165+01:00,,0,
2020-02-19T09:01:12.675+01:00,4.48,,1618.531
2020-02-19T09:01:14.663+01:00,6.11,,1612.927
2020-02-19T09:01:16.649+01:00,6.444,,1610.518
2020-02-19T09:01:17.158+01:00,,0,
2020-02-19T09:01:18.636+01:00,6.14,,1613.029
2020-02-19T09:01:20.625+01:00,5.466,,1615.201
2020-02-19T09:01:22.154+01:00,,0,
2020-02-19T09:01:22.613+01:00,5.771,,1616.761
2020-02-19T09:01:24.626+01:00,5.075,,1615.548
2020-02-19T09:01:26.613+01:00,5.731,,1610.281
2020-02-19T09:01:27.174+01:00,,0,
2020-02-19T09:01:27.888+01:00,,0,
2020-02-19T09:01:28.600+01:00,7.01,,1605.592
2020-02-19T09:01:30.589+01:00,7.115,,1609.012
2020-02-19T09:01:32.576+01:00,5.93,,1620.745
2020-02-19T09:01:32.882+01:00,,0,
2020-02-19T09:01:34.563+01:00,4.819,,1624.948
2020-02-19T09:01:36.551+01:00,4.177,,1624.321
2020-02-19T09:01:37.876+01:00,,0,
2020-02-19T09:01:38.538+01:00,4.955,,1621.478
2020-02-19T09:01:40.527+01:00,6.013,,1611.582
2020-02-19T09:01:42.566+01:00,6.472,,1609.962
2020-02-19T09:01:42.872+01:00,,0,
2020-02-19T09:01:44.553+01:00,5.081,,1620.376
2020-02-19T09:01:46.540+01:00,4.605,,1624.592
2020-02-19T09:01:47.867+01:00,,0,
2020-02-19T09:01:48.530+01:00,4.271,,1625.489
2020-02-19T09:01:50.517+01:00,4.837,,1625.247
2020-02-19T09:01:52.505+01:00,4.591,,1624.758
2020-02-19T09:01:52.862+01:00,,0,
2020-02-19T09:01:54.493+01:00,4.722,,1622.613
2020-02-19T09:01:56.482+01:00,4.398,,1626.034
2020-02-19T09:01:57.858+01:00,,0,
2020-02-19T09:01:58.470+01:00,4.557,,1627.327
2020-02-19T09:02:00.458+01:00,4.862,,1626.582
